Start_frame,End_frame,Participant,Behavior_ID,Behavior_Description
8.09,13.84,P13,3,repair
19.0,24.87,P11,10,laughing
30.08,38.08,P10,10,laughing
31.96,35.97,P13,3,repair
55.91,58.89,P13,3,repair
56.06,58.82,P11,9,whispering
63.92,69.08,P9,2,acknowledgement 
107.91,112.07,P11,3,repair
122.93,126.97,P11,9,whispering
140.84,141.96,P13,2,acknowledgement 
164.96,167.94,P14,9,whispering
165.04,169.05,P11,19,judgemental 
176.92,180.83,P11,9,whispering
181.07,187.03,P9,14,positive tone 
39.05,44.9,P9,30,Laugh
43.88,46.01,P14,29,Whisper
56.08,59.0,P13,6,Relevancy
60.11,63.05,P14,6,Relevancy
65.86,69.03,P9,3,Answer Question
65.86,69.03,P9,4,Follow-Up Question
76.01,79.06,P14,29,Whisper
149.82,153.01,P13,6,Relevancy
151.0,154.03,P11,30,Laugh
156.87,160.89,P11,6,Relevancy
165.04,174.0,P14,6,Relevancy
183.84,188.94,P9,6,Relevancy
199.01,207.01,P9,1,Short Response
