Start_frame,End_frame,Participant,Behavior_ID,Behavior_Description
207.79,209.81,P33,10,laughing
211.87,215.84,P33,10,laughing
230.94,235.79,P33,10,laughing
249.87,251.75,P33,10,laughing
249.9,251.9,P32,10,laughing
273.89,277.79,P33,9,whispering
275.81,282.83,P32,3,repair
329.93,340.75,P33,10,laughing
336.74,341.81,P32,10,laughing
349.76,360.78,P33,10,laughing
355.02,363.97,P32,10,laughing
399.03,405.94,P33,10,laughing
403.9,406.78,P32,10,laughing
427.93,428.98,P32,10,laughing
456.0,465.92,P32,10,laughing
456.98,459.98,P33,10,laughing
458.91,460.83,P33,13,compliment
499.93,505.03,P33,10,laughing
499.94,505.01,P32,10,laughing
519.86,522.79,P33,10,laughing
538.96,540.96,P33,20,insult
556.95,569.83,P32,3,repair
595.75,604.76,P32,10,laughing
601.02,603.02,P33,10,laughing
624.93,629.98,P32,10,laughing
625.75,628.81,P33,10,laughing
648.94,651.88,P32,10,laughing
658.96,662.01,P33,21,cut off agent
662.78,663.81,P33,10,laughing
677.83,679.91,P32,9,whispering
693.8,699.74,P33,10,laughing
697.02,701.92,P32,10,laughing
771.02,775.82,P32,10,laughing
772.78,775.78,P33,10,laughing
778.01,780.76,P32,10,laughing
798.98,804.76,P32,10,laughing
802.02,803.84,P33,13,compliment
823.88,825.89,P33,10,laughing
828.8,833.76,P33,10,laughing
834.95,837.98,P33,21,cut off agent
852.81,858.75,P33,3,repair
858.74,864.75,P33,10,laughing
864.02,865.88,P32,10,laughing
885.95,889.93,P33,10,laughing
887.76,891.83,P32,10,laughing
925.01,927.81,P32,10,laughing
925.76,928.77,P33,10,laughing
932.75,936.83,P33,2,acknowledgement 
937.82,939.96,P32,2,acknowledgement 
941.84,946.02,P33,10,laughing
942.03,945.88,P32,10,laughing
962.96,966.9,P32,10,laughing
970.03,975.0,P32,13,compliment
970.79,975.91,P33,10,laughing
983.76,987.95,P32,3,repair
989.85,997.81,P33,10,laughing
990.8,996.9,P32,10,laughing
1006.8,1009.0,P33,10,laughing
1020.99,1025.88,P33,10,laughing
208.97,216.99,P33,6,Relevancy
208.97,216.99,P33,30,Laugh
229.93,251.89,P32,30,Laugh
235.97,252.86,P33,6,Relevancy
235.97,252.86,P33,30,Laugh
328.75,340.97,P33,30,Laugh
330.85,341.98,P32,30,Laugh
349.79,360.99,P33,30,Laugh
353.01,364.86,P32,30,Laugh
397.85,405.95,P32,30,Laugh
411.77,429.02,P32,30,Laugh
446.85,462.98,P32,30,Laugh
447.01,461.74,P33,30,Laugh
447.01,461.74,P33,6,Relevancy
494.86,519.92,P32,30,Laugh
500.83,517.86,P33,30,Laugh
533.95,541.01,P33,34,Insult
573.83,578.97,P33,30,Laugh
573.83,578.97,P33,29,Whisper
573.83,578.97,P33,35,Judgemental Verbal
591.01,600.91,P33,30,Laugh
593.92,603.93,P32,30,Laugh
614.0,628.82,P33,30,Laugh
615.0,629.76,P32,30,Laugh
639.92,656.81,P32,30,Laugh
655.84,664.9,P33,37,Interrupt 
655.84,664.9,P33,31,Thank You
655.84,664.9,P33,30,Laugh
686.03,699.76,P32,30,Laugh
693.0,698.86,P33,30,Laugh
697.9,702.83,P32,29,Whisper
769.82,779.78,P32,30,Laugh
770.84,777.75,P33,30,Laugh
770.84,777.75,P33,6,Relevancy
770.84,777.75,P33,5,Exclamation
796.03,804.0,P32,30,Laugh
800.91,804.76,P33,6,Relevancy
800.91,804.76,P33,30,Laugh
830.01,836.9,P33,37,Interrupt 
830.01,836.9,P33,30,Laugh
859.81,867.02,P32,30,Laugh
859.84,866.89,P33,29,Whisper
859.84,866.89,P33,30,Laugh
881.85,888.98,P33,30,Laugh
885.02,888.93,P32,30,Laugh
912.91,927.03,P32,30,Laugh
928.95,933.96,P33,6,Relevancy
928.95,933.96,P33,1,Short Response
935.93,941.77,P32,3,Answer Question
959.82,975.96,P32,32,Compliment
959.82,975.96,P32,30,Laugh
963.03,974.96,P33,30,Laugh
992.91,997.8,P32,30,Laugh
1007.75,1008.89,P33,29,Whisper
1020.84,1024.91,P33,30,Laugh
1020.84,1024.91,P33,30,Laugh
